customer_id,churn_prob,ltv,revenue_at_risk,is_top_20_risk,rfm_segment,r_score,f_score,m_score,recommended_action,days_since_last_purchase,total_orders,avg_order_value
CUST0001,1.1872021399955242e-06,22703.92,0.03,0,New Customers,5,2,3,Discount + Personalized Outreach,2,9,2522.657777777778
CUST0002,0.0006116490512673255,90154.58,55.14,0,Champions,4,4,5,Discount + Personalized Outreach,60,18,5008.587777777778
CUST0003,0.9395388638353007,44778.74,42071.37,1,Hibernating,2,2,4,Reactivation Email Series,100,9,4975.415555555555
CUST0004,1.8904449561095402e-06,52156.82,0.1,0,Champions,5,4,5,Discount + Personalized Outreach,8,15,3477.121333333333
CUST0005,0.055512323901528736,82163.77,4561.1,0,Loyal Customers,3,3,5,Discount + Personalized Outreach,71,14,5868.840714285713
CUST0006,0.10022183618142615,59476.67,5960.86,0,Loyal Customers,3,4,5,Discount + Personalized Outreach,83,16,3717.291875
CUST0007,9.24081047278791e-07,22663.53,0.02,0,New Customers,5,2,3,Discount + Personalized Outreach,8,9,2518.17
CUST0008,9.990059112541171e-07,28135.95,0.03,0,New Customers,5,2,4,Discount + Personalized Outreach,6,8,3516.99375
CUST0009,2.2967815767100896e-06,43770.76,0.1,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,20,14,3126.482857142857
CUST0010,1.8842619233952278e-06,30600.13,0.06,0,Loyal Customers,5,3,4,Discount + Personalized Outreach,19,10,3060.013
CUST0011,0.0006641386791451782,73494.48,48.81,0,Loyal Customers,4,3,5,Discount + Personalized Outreach,32,13,5653.421538461538
CUST0012,7.626098290747522e-07,69268.49,0.05,0,Loyal Customers,5,3,5,Discount + Personalized Outreach,0,11,6297.135454545455
CUST0013,8.446536981940877e-07,77242.61,0.07,0,Champions,5,4,5,Discount + Personalized Outreach,4,16,4827.663125
CUST0014,0.0002205974174188102,56209.94,12.4,0,Loyal Customers,4,3,5,Discount + Personalized Outreach,34,10,5620.994
CUST0015,6.645365840118189e-07,53623.81,0.04,0,Loyal Customers,5,3,5,Discount + Personalized Outreach,1,13,4124.908461538462
