customer_id,last_purchase,first_purchase,total_orders,total_revenue,total_items,avg_order_value,unique_products,days_since_last_purchase,customer_lifespan_days,avg_days_between_orders,purchase_frequency,ltv,churned,r_score,f_score,m_score,rfm_avg,rfm_segment,segment,city,signup_date,days_since_signup
CUST0001,2026-04-17,2024-08-17,9,22703.920000000002,27,2522.657777777778,8,2,608,76.0,0.4440789473684211,22703.92,0,5,2,3,3.3333333333333335,New Customers,Regular,Kolkata,2025-07-03,290
CUST0002,2026-02-18,2024-04-28,18,90154.58,67,5008.587777777778,12,60,661,38.88235294117647,0.8169440242057489,90154.58,0,4,4,5,4.333333333333333,Champions,Budget,Hyderabad,2025-12-15,125
CUST0003,2026-01-09,2024-05-07,9,44778.74,28,4975.415555555555,9,100,612,76.5,0.44117647058823534,44778.74,1,2,2,4,2.6666666666666665,Hibernating,Budget,Pune,2024-11-04,531
CUST0004,2026-04-11,2024-09-06,15,52156.82,53,3477.1213333333335,11,8,582,41.57142857142857,0.7731958762886598,52156.82,0,5,4,5,4.666666666666667,Champions,Regular,Ahmedabad,2025-03-29,386
CUST0005,2026-02-07,2024-04-27,14,82163.76999999999,38,5868.840714285713,12,71,651,50.07692307692308,0.6451612903225806,82163.77,0,3,3,5,3.6666666666666665,Loyal Customers,Premium,Ahmedabad,2025-09-09,222
CUST0006,2026-01-26,2024-04-28,16,59476.67,47,3717.291875,12,83,638,42.53333333333333,0.7523510971786834,59476.67,0,3,4,5,4.0,Loyal Customers,Premium,Bangalore,2023-06-04,1050
CUST0007,2026-04-11,2024-04-26,9,22663.53,31,2518.17,8,8,715,89.375,0.37762237762237766,22663.53,0,5,2,3,3.3333333333333335,New Customers,Premium,Ahmedabad,2025-04-27,357
CUST0008,2026-04-13,2024-05-02,8,28135.949999999997,24,3516.9937499999996,8,6,711,101.57142857142857,0.33755274261603374,28135.95,0,5,2,4,3.6666666666666665,New Customers,Budget,Kolkata,2025-09-18,213
CUST0009,2026-03-30,2024-07-04,14,43770.76,40,3126.4828571428575,10,20,634,48.76923076923077,0.6624605678233438,43770.76,0,5,3,4,4.0,Loyal Customers,Regular,Chennai,2025-11-30,140
CUST0010,2026-03-31,2024-05-17,10,30600.13,27,3060.013,8,19,683,75.88888888888889,0.43923865300146414,30600.13,0,5,3,4,4.0,Loyal Customers,Budget,Mumbai,2025-12-10,130
CUST0011,2026-03-18,2025-01-01,13,73494.48,39,5653.421538461538,11,32,441,36.75,0.8843537414965987,73494.48,0,4,3,5,4.0,Loyal Customers,Premium,Kolkata,2025-07-22,271
CUST0012,2026-04-19,2024-05-12,11,69268.49,35,6297.135454545455,9,0,707,70.7,0.4667609618104668,69268.49,0,5,3,5,4.333333333333333,Loyal Customers,Budget,Chennai,2025-11-26,144
CUST0013,2026-04-15,2024-06-06,16,77242.61,47,4827.663125,12,4,678,45.2,0.7079646017699115,77242.61,0,5,4,5,4.666666666666667,Champions,Budget,Pune,2026-01-28,81
CUST0014,2026-03-16,2024-05-05,10,56209.939999999995,34,5620.994,9,34,680,75.55555555555556,0.4411764705882353,56209.94,0,4,3,5,4.0,Loyal Customers,Regular,Ahmedabad,2024-09-21,575
CUST0015,2026-04-18,2024-05-03,13,53623.81,44,4124.908461538462,12,1,715,59.583333333333336,0.5454545454545455,53623.81,0,5,3,5,4.333333333333333,Loyal Customers,Premium,Pune,2025-06-01,322
CUST0016,2026-03-19,2024-07-26,9,35515.6,27,3946.1777777777775,9,31,601,75.125,0.4492512479201331,35515.6,0,4,2,4,3.3333333333333335,New Customers,Premium,Ahmedabad,2023-11-12,889
CUST0017,2025-11-16,2024-05-11,10,31923.85,17,3192.3849999999998,10,154,554,61.55555555555556,0.5415162454873647,31923.85,1,2,3,4,3.0,At Risk,Regular,Mumbai,2025-09-08,223
CUST0018,2026-04-17,2024-04-29,11,36686.200000000004,37,3335.1090909090913,10,2,718,71.8,0.4596100278551532,36686.2,0,5,3,4,4.0,Loyal Customers,Regular,Delhi,2024-07-04,654
CUST0019,2025-10-28,2024-05-20,7,19634.34,14,2804.905714285714,6,173,526,87.66666666666667,0.3992395437262357,19634.34,1,2,2,3,2.3333333333333335,Hibernating,Regular,Mumbai,2025-05-08,346
CUST0020,2026-04-16,2024-07-29,10,40469.630000000005,38,4046.9630000000006,10,3,626,69.55555555555556,0.4792332268370607,40469.63,0,5,3,4,4.0,Loyal Customers,Regular,Hyderabad,2023-06-27,1027
CUST0021,2025-12-22,2024-07-15,9,27233.53,31,3025.9477777777774,8,118,525,65.625,0.5142857142857142,27233.53,1,2,2,4,2.6666666666666665,Hibernating,Regular,Kolkata,2025-09-05,226
CUST0022,2026-03-08,2024-05-12,11,37080.23,32,3370.9300000000003,8,42,665,66.5,0.49624060150375937,37080.23,0,4,3,4,3.6666666666666665,Loyal Customers,Premium,Bangalore,2024-09-14,582
CUST0023,2026-02-21,2024-05-22,12,61610.450000000004,36,5134.204166666667,11,57,640,58.18181818181818,0.5625,61610.45,0,4,3,5,4.0,Loyal Customers,Regular,Delhi,2023-05-03,1082
CUST0024,2026-02-16,2024-05-11,11,51431.82,39,4675.62,10,62,646,64.6,0.5108359133126935,51431.82,0,3,3,5,3.6666666666666665,Loyal Customers,Regular,Mumbai,2024-06-07,681
CUST0025,2025-11-23,2024-04-22,9,45073.340000000004,34,5008.148888888889,8,147,580,72.5,0.4655172413793104,45073.34,1,2,2,4,2.6666666666666665,Hibernating,Regular,Chennai,2024-04-23,726
CUST0026,2026-04-12,2024-10-26,9,30523.309999999998,31,3391.478888888889,9,7,533,66.625,0.5065666041275798,30523.31,0,5,2,4,3.6666666666666665,New Customers,Budget,Delhi,2025-04-22,362
CUST0027,2026-03-30,2024-06-19,8,42578.380000000005,33,5322.297500000001,7,20,649,92.71428571428571,0.3697996918335901,42578.38,0,5,2,4,3.6666666666666665,New Customers,Premium,Kolkata,2025-07-23,270
CUST0028,2026-02-28,2024-05-27,13,70399.68000000001,40,5415.360000000001,12,50,642,53.5,0.6074766355140188,70399.68,0,4,3,5,4.0,Loyal Customers,Regular,Ahmedabad,2023-12-16,855
CUST0029,2025-12-23,2024-06-16,9,30061.35,22,3340.1499999999996,7,117,555,69.375,0.4864864864864865,30061.35,1,2,2,4,2.6666666666666665,Hibernating,Regular,Delhi,2025-11-25,145
CUST0030,2026-04-08,2024-04-28,14,36526.4,37,2609.0285714285715,9,11,710,54.61538461538461,0.5915492957746479,36526.4,0,5,3,4,4.0,Loyal Customers,Premium,Ahmedabad,2026-02-14,64
CUST0031,2025-11-03,2024-06-06,14,53401.880000000005,38,3814.4200000000005,12,167,515,39.61538461538461,0.8155339805825242,53401.88,1,2,3,5,3.3333333333333335,At Risk,Regular,Kolkata,2023-10-16,916
CUST0032,2026-04-11,2024-05-22,14,40300.49,40,2878.6064285714283,9,8,689,53.0,0.6095791001451379,40300.49,0,5,3,4,4.0,Loyal Customers,Premium,Mumbai,2024-04-17,732
CUST0033,2025-11-25,2024-05-05,8,50345.59,29,6293.19875,6,145,569,81.28571428571429,0.421792618629174,50345.59,1,2,2,5,3.0,Hibernating,Premium,Kolkata,2025-12-17,123
CUST0034,2026-04-15,2024-06-18,15,59986.39000000001,42,3999.092666666667,13,4,666,47.57142857142857,0.6756756756756757,59986.39,0,5,4,5,4.666666666666667,Champions,Budget,Delhi,2026-01-17,92
CUST0035,2025-10-05,2024-09-04,7,25035.59,26,3576.5128571428572,7,196,396,66.0,0.5303030303030303,25035.59,1,1,2,4,2.3333333333333335,Hibernating,Budget,Chennai,2023-10-27,905
CUST0036,2026-02-28,2024-05-21,10,33283.76,27,3328.376,8,50,648,72.0,0.4629629629629629,33283.76,0,4,3,4,3.6666666666666665,Loyal Customers,Budget,Pune,2025-01-28,446
CUST0037,2025-12-01,2024-06-23,9,36157.880000000005,24,4017.542222222223,9,139,526,65.75,0.5133079847908745,36157.88,1,2,2,4,2.6666666666666665,Hibernating,Regular,Delhi,2024-08-10,617
CUST0038,2025-11-26,2024-07-10,8,24456.9,24,3057.1125,6,144,504,72.0,0.47619047619047616,24456.9,1,2,2,3,2.3333333333333335,Hibernating,Premium,Kolkata,2023-10-14,918
CUST0039,2026-03-16,2024-06-27,13,59626.3,34,4586.638461538461,11,34,627,52.25,0.6220095693779905,59626.3,0,4,3,5,4.0,Loyal Customers,Regular,Pune,2024-05-20,699
CUST0040,2026-02-27,2024-05-11,4,15970.08,10,3992.52,3,51,657,219.0,0.18264840182648404,15970.08,0,4,1,3,2.6666666666666665,New Customers,Regular,Kolkata,2024-07-28,630
CUST0041,2026-01-16,2024-06-19,9,30341.11,25,3371.2344444444443,7,93,576,72.0,0.46875,30341.11,1,2,2,4,2.6666666666666665,Hibernating,Premium,Chennai,2024-04-13,736
CUST0042,2026-04-14,2024-05-18,15,45223.350000000006,49,3014.8900000000003,13,5,696,49.714285714285715,0.646551724137931,45223.35,0,5,4,4,4.333333333333333,Champions,Regular,Kolkata,2024-04-01,748
CUST0043,2026-04-17,2024-06-04,11,38923.36,33,3538.4872727272727,6,2,682,68.2,0.48387096774193544,38923.36,0,5,3,4,4.0,Loyal Customers,Premium,Mumbai,2023-10-24,908
CUST0044,2026-03-24,2024-05-25,8,20654.95,24,2581.86875,8,26,668,95.42857142857143,0.3592814371257485,20654.95,0,5,2,3,3.3333333333333335,New Customers,Budget,Bangalore,2024-08-02,625
CUST0045,2026-03-07,2024-12-05,10,41402.729999999996,30,4140.272999999999,8,43,457,50.77777777777778,0.6564551422319476,41402.73,0,4,3,4,3.6666666666666665,Loyal Customers,Regular,Ahmedabad,2024-10-02,564
CUST0046,2026-04-05,2024-09-18,12,36670.020000000004,30,3055.8350000000005,10,14,564,51.27272727272727,0.6382978723404255,36670.02,0,5,3,4,4.0,Loyal Customers,Regular,Ahmedabad,2024-08-20,607
CUST0047,2026-04-19,2024-05-06,23,89759.54000000001,65,3902.5886956521745,14,0,713,32.40909090909091,0.967741935483871,89759.54,0,5,5,5,5.0,Champions,Regular,Delhi,2023-10-15,917
CUST0048,2026-02-23,2024-07-09,9,26221.04,29,2913.448888888889,8,55,594,74.25,0.45454545454545453,26221.04,0,4,2,4,3.3333333333333335,New Customers,Regular,Bangalore,2024-12-20,485
CUST0049,2026-03-13,2024-04-27,15,88336.12,43,5889.074666666666,11,37,685,48.92857142857143,0.6569343065693432,88336.12,0,4,4,5,4.333333333333333,Champions,Regular,Kolkata,2024-05-04,715
CUST0050,2025-12-24,2024-05-12,4,6358.530000000001,11,1589.6325000000002,4,116,591,197.0,0.20304568527918782,6358.53,1,2,1,2,1.6666666666666667,Lost,Premium,Chennai,2024-06-08,680
CUST0051,2025-11-25,2024-06-14,8,14344.84,15,1793.105,7,145,529,75.57142857142857,0.45368620037807184,14344.84,1,2,2,3,2.3333333333333335,Hibernating,Budget,Delhi,2025-12-28,112
CUST0052,2025-12-01,2024-04-22,14,59109.56,41,4222.111428571428,13,139,588,45.23076923076923,0.7142857142857142,59109.56,1,2,3,5,3.3333333333333335,At Risk,Budget,Kolkata,2023-08-13,980
CUST0053,2026-04-12,2024-10-11,7,27153.91,21,3879.13,7,7,548,91.33333333333333,0.3832116788321168,27153.91,0,5,2,4,3.6666666666666665,New Customers,Budget,Unknown,2026-02-02,76
CUST0054,2026-01-12,2024-05-15,10,51890.03,30,5189.003,7,97,607,67.44444444444444,0.4942339373970346,51890.03,1,2,3,5,3.3333333333333335,At Risk,Budget,Hyderabad,2025-07-18,275
CUST0055,2026-04-10,2024-05-06,11,31220.07,26,2838.188181818182,10,9,704,70.4,0.46875000000000006,31220.07,0,5,3,4,4.0,Loyal Customers,Regular,Kolkata,2024-11-20,515
CUST0056,2026-04-03,2024-07-08,13,48110.33,37,3700.7946153846156,11,16,634,52.833333333333336,0.6151419558359622,48110.33,0,5,3,4,4.0,Loyal Customers,Budget,Bangalore,2025-12-08,132
CUST0057,2026-04-04,2024-04-20,9,31515.05,30,3501.672222222222,7,15,714,89.25,0.37815126050420167,31515.05,0,5,2,4,3.6666666666666665,New Customers,Premium,Delhi,2024-08-31,596
CUST0058,2026-03-23,2024-05-08,12,25792.04,32,2149.3366666666666,10,27,684,62.18181818181818,0.5263157894736842,25792.04,0,5,3,4,4.0,Loyal Customers,Premium,Bangalore,2024-01-31,809
CUST0059,2026-03-08,2024-05-18,7,13714.87,20,1959.267142857143,6,42,659,109.83333333333333,0.31866464339908956,13714.87,0,4,2,3,3.0,New Customers,Premium,Delhi,2024-01-30,810
CUST0060,2025-09-29,2024-06-25,10,27344.33,29,2734.433,10,202,461,51.22222222222222,0.6507592190889371,27344.33,1,1,3,4,2.6666666666666665,Cant Lose Them,Regular,Kolkata,2024-09-27,569
CUST0061,2026-03-02,2024-05-10,12,48834.6,40,4069.5499999999997,11,48,661,60.09090909090909,0.5446293494704992,48834.6,0,4,3,4,3.6666666666666665,Loyal Customers,Regular,Mumbai,2025-10-14,187
CUST0062,2026-04-13,2024-05-12,12,65427.72,40,5452.31,10,6,701,63.72727272727273,0.5135520684736091,65427.72,0,5,3,5,4.333333333333333,Loyal Customers,Regular,Unknown,2024-10-03,563
CUST0063,2025-10-15,2024-05-02,9,43190.28,31,4798.92,7,186,531,66.375,0.5084745762711864,43190.28,1,1,2,4,2.3333333333333335,Hibernating,Budget,Kolkata,2025-02-14,429
CUST0064,2026-01-25,2024-09-19,10,46758.5,34,4675.85,8,84,493,54.77777777777778,0.6085192697768762,46758.5,0,3,3,4,3.3333333333333335,Loyal Customers,Regular,Ahmedabad,2024-12-21,484
CUST0065,2026-04-03,2024-06-23,13,52795.5,44,4061.1923076923076,10,16,649,54.083333333333336,0.600924499229584,52795.5,0,5,3,5,4.333333333333333,Loyal Customers,Regular,Bangalore,2024-10-23,543
CUST0066,2025-07-25,2024-09-11,8,28492.45,22,3561.55625,7,268,317,45.285714285714285,0.7570977917981073,28492.45,1,1,2,4,2.3333333333333335,Hibernating,Regular,Hyderabad,2024-01-30,810
CUST0067,2026-03-24,2024-11-03,9,21803.100000000002,24,2422.566666666667,6,26,506,63.25,0.5335968379446641,21803.1,0,5,2,3,3.3333333333333335,New Customers,Premium,Hyderabad,2023-05-17,1068
CUST0068,2025-12-17,2024-05-09,14,41995.28,43,2999.662857142857,12,123,587,45.15384615384615,0.7155025553662692,41995.28,1,2,3,4,3.0,At Risk,Budget,Chennai,2025-10-31,170
CUST0069,2026-03-31,2024-06-04,13,42139.96,36,3241.5353846153844,9,19,665,55.416666666666664,0.5864661654135338,42139.96,0,5,3,4,4.0,Loyal Customers,Premium,Delhi,2024-12-15,490
CUST0070,2026-03-06,2024-07-17,5,21221.39,16,4244.278,4,44,597,149.25,0.2512562814070352,21221.39,0,4,2,3,3.0,New Customers,Budget,Bangalore,2026-02-18,60
CUST0071,2026-03-28,2024-04-29,14,29420.15,38,2101.4392857142857,10,22,698,53.69230769230769,0.6017191977077364,29420.15,0,5,3,4,4.0,Loyal Customers,Budget,Chennai,2026-02-28,50
CUST0072,2026-02-20,2024-10-17,9,36553.71,28,4061.523333333333,8,58,491,61.375,0.5498981670061099,36553.71,0,4,2,4,3.3333333333333335,New Customers,Premium,Bangalore,2023-08-13,980
CUST0073,2026-01-18,2024-04-19,10,48176.65,33,4817.665,7,91,639,71.0,0.4694835680751174,48176.65,1,2,3,4,3.0,At Risk,Premium,Ahmedabad,2023-07-14,1010
CUST0074,2026-04-18,2024-09-07,11,40931.69,34,3721.0627272727274,8,1,588,58.8,0.5612244897959183,40931.69,0,5,3,4,4.0,Loyal Customers,Budget,Delhi,2025-01-04,470
CUST0075,2026-02-01,2024-06-06,13,44685.05,28,3437.3115384615385,12,77,605,50.416666666666664,0.6446280991735537,44685.05,0,3,3,4,3.3333333333333335,Loyal Customers,Budget,Kolkata,2025-04-24,360
CUST0076,2026-04-11,2024-07-31,10,51411.36,29,5141.136,8,8,619,68.77777777777777,0.48465266558966075,51411.36,0,5,3,5,4.333333333333333,Loyal Customers,Budget,Kolkata,2023-05-14,1071
CUST0077,2025-10-18,2024-10-03,8,35150.88,26,4393.86,7,183,380,54.285714285714285,0.6315789473684211,35150.88,1,1,2,4,2.3333333333333335,Hibernating,Budget,Hyderabad,2024-05-29,690
CUST0078,2025-10-16,2024-07-02,7,18103.53,22,2586.218571428571,7,185,471,78.5,0.445859872611465,18103.53,1,1,2,3,2.0,Hibernating,Premium,Kolkata,2024-08-22,605
CUST0079,2026-03-01,2024-08-02,13,29495.7,34,2268.9,11,49,576,48.0,0.6770833333333334,29495.7,0,4,3,4,3.6666666666666665,Loyal Customers,Regular,Kolkata,2023-11-30,871
CUST0080,2026-01-30,2024-04-23,10,38864.52,32,3886.4519999999998,8,79,647,71.88888888888889,0.46367851622874806,38864.52,0,3,3,4,3.3333333333333335,Loyal Customers,Premium,Ahmedabad,2024-04-22,727
CUST0081,2026-04-05,2024-04-21,16,43441.62,43,2715.10125,14,14,714,47.6,0.6722689075630252,43441.62,0,5,4,4,4.333333333333333,Champions,Budget,Mumbai,2025-02-24,419
CUST0082,2026-02-06,2024-05-25,13,57123.33,45,4394.1023076923075,9,72,622,51.833333333333336,0.6270096463022508,57123.33,0,3,3,5,3.6666666666666665,Loyal Customers,Regular,Hyderabad,2026-02-22,56
CUST0083,2026-04-05,2024-07-07,12,74502.47,37,6208.5391666666665,11,14,637,57.90909090909091,0.5651491365777079,74502.47,0,5,3,5,4.333333333333333,Loyal Customers,Regular,Chennai,2026-02-24,54
CUST0084,2026-03-28,2024-05-08,11,29803.28,29,2709.389090909091,9,22,689,68.9,0.4789550072568941,29803.28,0,5,3,4,4.0,Loyal Customers,Premium,Pune,2026-03-09,41
CUST0085,2026-04-18,2024-05-20,18,70307.09,60,3905.9494444444445,14,1,698,41.05882352941177,0.7736389684813754,70307.09,0,5,4,5,4.666666666666667,Champions,Regular,Mumbai,2023-10-16,916
CUST0086,2026-03-18,2024-05-20,12,39830.18,32,3319.181666666667,10,32,667,60.63636363636363,0.5397301349325337,39830.18,0,4,3,4,3.6666666666666665,Loyal Customers,Regular,Chennai,2024-08-15,612
CUST0087,2025-12-21,2024-08-02,8,21824.71,19,2728.08875,6,119,506,72.28571428571429,0.4743083003952569,21824.71,1,2,2,3,2.3333333333333335,Hibernating,Budget,Delhi,2025-04-23,361
CUST0088,2026-03-22,2024-07-17,11,46663.35,36,4242.122727272727,7,28,613,61.3,0.5383360522022839,46663.35,0,5,3,4,4.0,Loyal Customers,Regular,Mumbai,2023-06-26,1028
CUST0089,2026-01-04,2024-05-08,11,33493.43,34,3044.8572727272726,9,105,606,60.6,0.5445544554455446,33493.43,1,2,3,4,3.0,At Risk,Budget,Ahmedabad,2024-11-10,525
CUST0090,2026-04-06,2024-09-17,10,53397.979999999996,28,5339.798,7,13,566,62.888888888888886,0.5300353356890459,53397.98,0,5,3,5,4.333333333333333,Loyal Customers,Regular,Chennai,2025-10-30,171
CUST0091,2026-04-06,2024-07-14,13,62169.43,36,4782.263846153846,10,13,631,52.583333333333336,0.618066561014263,62169.43,0,5,3,5,4.333333333333333,Loyal Customers,Premium,Delhi,2025-03-04,411
CUST0092,2026-04-09,2024-05-10,15,60060.41,42,4004.0273333333334,10,10,699,49.92857142857143,0.6437768240343348,60060.41,0,5,4,5,4.666666666666667,Champions,Budget,Hyderabad,2026-01-01,108
CUST0093,2026-01-12,2024-05-13,17,67388.34,43,3964.02,11,97,609,38.0625,0.8374384236453202,67388.34,1,2,4,5,3.6666666666666665,At Risk,Budget,Pune,2024-11-16,519
CUST0094,2026-04-11,2024-05-24,9,14596.199999999999,18,1621.8,7,8,687,85.875,0.39301310043668125,14596.2,0,5,2,3,3.3333333333333335,New Customers,Regular,Delhi,2023-07-15,1009
CUST0095,2026-02-09,2024-04-22,10,47455.79,39,4745.579,9,69,658,73.11111111111111,0.45592705167173253,47455.79,0,3,3,4,3.3333333333333335,Loyal Customers,Budget,Kolkata,2025-09-07,224
CUST0096,2026-03-03,2024-05-11,15,49113.03,43,3274.2019999999998,11,47,661,47.214285714285715,0.680786686838124,49113.03,0,4,4,4,4.0,Champions,Regular,Bangalore,2024-09-07,589
CUST0097,2026-02-01,2024-07-26,12,54704.1,39,4558.675,10,77,555,50.45454545454545,0.6486486486486487,54704.1,0,3,3,5,3.6666666666666665,Loyal Customers,Regular,Delhi,2025-11-09,161
CUST0098,2026-03-12,2024-04-30,12,50220.58,37,4185.048333333333,9,38,681,61.90909090909091,0.5286343612334802,50220.58,0,4,3,5,4.0,Loyal Customers,Regular,Delhi,2023-11-29,872
CUST0099,2026-03-02,2024-06-07,13,77539.81,48,5964.600769230769,10,48,633,52.75,0.6161137440758293,77539.81,0,4,3,5,4.0,Loyal Customers,Premium,Pune,2026-03-03,47
CUST0100,2025-12-13,2025-04-05,3,25793.34,12,8597.78,3,127,252,126.0,0.35714285714285715,25793.34,1,2,1,4,2.3333333333333335,Hibernating,Premium,Bangalore,2025-09-19,212
CUST0101,2026-03-31,2024-05-15,11,58703.89,34,5336.717272727273,10,19,685,68.5,0.48175182481751827,58703.89,0,5,3,5,4.333333333333333,Loyal Customers,Premium,Kolkata,2023-10-20,912
CUST0102,2026-03-29,2024-10-21,9,36744.21,29,4082.69,8,21,524,65.5,0.5152671755725191,36744.21,0,5,2,4,3.6666666666666665,New Customers,Regular,Chennai,2026-03-07,43
CUST0103,2026-03-03,2024-07-08,11,47320.34,34,4301.849090909091,11,47,603,60.3,0.5472636815920398,47320.34,0,4,3,4,3.6666666666666665,Loyal Customers,Regular,Unknown,2025-06-14,309
CUST0104,2026-04-11,2024-06-13,13,62942.0,39,4841.692307692308,12,8,667,55.583333333333336,0.5847076461769115,62942.0,0,5,3,5,4.333333333333333,Loyal Customers,Regular,Delhi,2024-07-11,647
CUST0105,2026-03-18,2024-05-17,16,52754.8,47,3297.175,13,32,670,44.666666666666664,0.7164179104477613,52754.8,0,4,4,5,4.333333333333333,Champions,Budget,Ahmedabad,2023-06-17,1037
CUST0106,2026-04-17,2024-05-13,14,32581.35,32,2327.2392857142854,10,2,704,54.15384615384615,0.5965909090909092,32581.35,0,5,3,4,4.0,Loyal Customers,Regular,Ahmedabad,2025-09-13,218
CUST0107,2025-11-19,2024-06-16,12,32970.86,30,2747.5716666666667,9,151,521,47.36363636363637,0.690978886756238,32970.86,1,2,3,4,3.0,At Risk,Regular,Bangalore,2023-12-01,870
CUST0108,2026-04-13,2024-11-03,9,61085.159999999996,32,6787.24,8,6,526,65.75,0.5133079847908745,61085.16,0,5,2,5,4.0,New Customers,Budget,Bangalore,2025-09-23,208
CUST0109,2026-03-12,2024-06-23,12,63446.61,37,5287.2175,9,38,627,57.0,0.5741626794258373,63446.61,0,4,3,5,4.0,Loyal Customers,Regular,Kolkata,2024-04-23,726
CUST0110,2026-03-27,2024-04-23,17,79312.65,41,4665.45,12,23,703,43.9375,0.7254623044096729,79312.65,0,5,4,5,4.666666666666667,Champions,Premium,Pune,2025-12-13,127
CUST0111,2026-03-22,2024-05-01,10,42458.47,41,4245.847,9,28,690,76.66666666666667,0.43478260869565216,42458.47,0,5,3,4,4.0,Loyal Customers,Regular,Hyderabad,2023-10-01,931
CUST0112,2025-10-29,2024-09-02,8,34020.4,19,4252.55,6,172,422,60.285714285714285,0.5687203791469194,34020.4,1,2,2,4,2.6666666666666665,Hibernating,Premium,Chennai,2024-03-17,763
CUST0113,2026-03-26,2024-05-24,12,34155.2,34,2846.2666666666664,8,24,671,61.0,0.5365126676602087,34155.2,0,5,3,4,4.0,Loyal Customers,Budget,Pune,2024-11-09,526
CUST0114,2026-02-20,2024-07-21,9,40723.11,30,4524.79,8,58,579,72.375,0.46632124352331605,40723.11,0,4,2,4,3.3333333333333335,New Customers,Budget,Mumbai,2025-12-07,133
CUST0115,2026-01-05,2024-06-16,13,40441.12,38,3110.855384615385,10,104,568,47.333333333333336,0.6866197183098591,40441.12,1,2,3,4,3.0,At Risk,Regular,Chennai,2025-12-15,125
